impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_3S_30PTS,3,30.0,1,ATM_100,10,0.015,250,7,7,0.42857142857142855,3.1714285714285686,-3.1714285714285717,0.814285714285714,0.814285714285714
U_5S_30PTS,5,30.0,3,ATM,3,0.005,250,7,7,0.42857142857142855,2.285714285714284,-1.2714285714285742,0.7999999999999952,0.7399999999999978
U_1S_15PTS,1,15.0,3,ATM,5,0.005,500,1,1,0.0,1.2999999999999545,0.0,0.7999999999999545,0.7999999999999545
U_2S_20PTS,2,20.0,3,ATM,5,0.005,500,1,1,0.0,1.2999999999999545,0.0,0.7999999999999545,0.7999999999999545
U_1S_10PTS,1,10.0,0,ATM,10,0.015,500,20,20,0.25,2.9275,-1.64,0.7824999999999988,0.24473684210526192
U_1S_15PTS,1,15.0,1,ATM,10,0.005,250,8,8,0.375,2.3062500000000057,-1.7999999999999927,0.7750000000000057,-1.4499999999999886
U_1S_15PTS,1,15.0,0,ATM,10,0.01,250,16,16,0.5,4.39375,-2.6156250000000028,0.7718749999999983,-2.3000000000000114
U_2S_25PTS,2,25.0,0,ATM,5,0.01,250,5,5,0.4,2.7400000000000007,-0.9700000000000017,0.7699999999999989,0.7699999999999989
U_2S_25PTS,2,25.0,0,ATM,5,0.015,250,5,5,0.4,2.7400000000000007,-0.9700000000000017,0.7699999999999989,0.7699999999999989
U_1S_15PTS,1,15.0,2,ATM_100,3,0.01,250,33,33,0.18181818181818182,1.8651515151515135,-0.7348484848484846,0.7666666666666655,0.22999999999999954
U_3S_30PTS,3,30.0,0,ATM_200,3,0.005,500,2,2,0.5,1.6000000000000014,-0.3500000000000014,0.75,0.75
U_3S_20PTS,3,20.0,1,ATM,3,0.015,500,8,8,0.25,1.450000000000001,-0.10625000000000107,0.7437500000000005,0.7437500000000005
ACCEL_SPIKE,3,20.0,0,ATM,5,0.005,250,22,22,0.2727272727272727,3.147727272727273,-1.6340909090909121,0.7159090909090877,-2.8499999999999943
U_2S_20PTS,2,20.0,0,ATM,3,0.015,500,6,6,0.16666666666666666,1.7916666666666667,-0.641666666666668,0.7083333333333338,0.7083333333333338
U_5S_30PTS,5,30.0,1,ATM_100,3,0.005,500,4,4,0.25,2.57500000000001,-0.7624999999999762,0.7000000000000242,-1.849999999999909
U_5S_30PTS,5,30.0,1,ATM_100,3,0.01,500,4,4,0.25,2.57500000000001,-0.7624999999999762,0.7000000000000242,-1.849999999999909
U_5S_30PTS,5,30.0,1,ATM_100,3,0.015,500,4,4,0.25,2.57500000000001,-0.7624999999999762,0.7000000000000242,-1.849999999999909
U_1S_15PTS,1,15.0,0,ATM,5,0.015,250,19,19,0.3684210526315789,2.8052631578947365,-1.0473684210526346,0.6999999999999961,-0.056250000000000466
U_5S_30PTS,5,30.0,2,ATM_200,10,0.005,500,8,8,0.25,2.4750000000000014,-1.081249999999998,0.6937500000000023,0.6937500000000023
U_3S_20PTS,3,20.0,0,ATM,5,0.005,250,21,21,0.2857142857142857,3.2071428571428577,-1.6000000000000032,0.68333333333333,-2.8499999999999943
U_5S_30PTS,5,30.0,3,ATM,5,0.005,250,7,7,0.42857142857142855,3.307142857142858,-1.528571428571431,0.6785714285714265,0.2899999999999949
U_2S_25PTS,2,25.0,0,ATM,3,0.005,250,4,4,0.25,1.9000000000000021,-0.9875000000000007,0.6750000000000007,0.6750000000000007
U_5S_30PTS,5,30.0,3,ATM_100,5,0.005,500,6,6,0.16666666666666666,1.7250000000000003,-1.2083333333333328,0.6750000000000007,0.6750000000000007
U_1S_10PTS,1,10.0,0,ATM,5,0.01,250,50,50,0.38,2.7459999999999987,-1.376,0.667999999999997,-0.20000000000001705
U_5S_30PTS,5,30.0,1,ATM_100,10,0.01,250,17,17,0.35294117647058826,3.226470588235296,-2.720588235294116,0.6676470588235324,-2.2750000000000057
