date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-28,PUT,ATM_100,8,-0.0010165738010171961,31172
2026-04-28,PUT,ATM_100,9,0.0013645290293763063,31171
2026-04-28,PUT,ATM_100,10,-0.004674379472873269,31170
2026-04-28,PUT,ATM_200,-10,0.00844539657542219,31170
2026-04-28,PUT,ATM_200,-9,0.008959786897742739,31171
2026-04-28,PUT,ATM_200,-8,0.012222903728656186,31172
2026-04-28,PUT,ATM_200,-7,0.007897788396837066,31173
2026-04-28,PUT,ATM_200,-6,0.01535621608278137,31174
2026-04-28,PUT,ATM_200,-5,0.009565042423643153,31175
2026-04-28,PUT,ATM_200,-4,0.012938737072199995,31176
2026-04-28,PUT,ATM_200,-3,0.017504878892397147,31177
2026-04-28,PUT,ATM_200,-2,0.02648137872256596,31178
2026-04-28,PUT,ATM_200,-1,0.039304977261304254,31179
2026-04-28,PUT,ATM_200,0,0.015887379065424378,31180
2026-04-28,PUT,ATM_200,1,0.002176223082139506,31179
2026-04-28,PUT,ATM_200,2,0.0001828471829767466,31178
2026-04-28,PUT,ATM_200,3,0.0021176550249000056,31177
2026-04-28,PUT,ATM_200,4,0.0010296254130102863,31176
2026-04-28,PUT,ATM_200,5,0.003645544072820004,31175
2026-04-28,PUT,ATM_200,6,0.0022993513598009493,31174
2026-04-28,PUT,ATM_200,7,-0.001213757667285031,31173
2026-04-28,PUT,ATM_200,8,-0.0034071847219256744,31172
2026-04-28,PUT,ATM_200,9,0.002030342941369469,31171
2026-04-28,PUT,ATM_200,10,-0.0067177298569561315,31170
2026-04-29,CALL,ATM,-10,0.019824972970754754,21994
2026-04-29,CALL,ATM,-9,0.012729334876618958,21995
2026-04-29,CALL,ATM,-8,0.028544099288551228,21996
2026-04-29,CALL,ATM,-7,0.03229021127000628,21997
2026-04-29,CALL,ATM,-6,0.043133794596050136,21998
2026-04-29,CALL,ATM,-5,0.04272378614554599,21999
2026-04-29,CALL,ATM,-4,0.04488343408638029,22000
2026-04-29,CALL,ATM,-3,0.05362854407598281,22001
2026-04-29,CALL,ATM,-2,0.06974055323966152,22002
2026-04-29,CALL,ATM,-1,0.09613846650548315,22003
2026-04-29,CALL,ATM,0,0.09570969894576987,22004
2026-04-29,CALL,ATM,1,0.04526491388302234,22003
2026-04-29,CALL,ATM,2,0.031798253142894264,22002
2026-04-29,CALL,ATM,3,0.007232366548151274,22001
2026-04-29,CALL,ATM,4,0.010972913088679972,22000
2026-04-29,CALL,ATM,5,0.005512268102945193,21999
2026-04-29,CALL,ATM,6,-0.009021984748251197,21998
2026-04-29,CALL,ATM,7,-0.0014946173694202914,21997
2026-04-29,CALL,ATM,8,-0.007199334439254872,21996
2026-04-29,CALL,ATM,9,-0.006111332481329343,21995
2026-04-29,CALL,ATM,10,-0.027989629992342543,21994
2026-04-29,CALL,ATM_100,-10,0.016013262768465198,21994
2026-04-29,CALL,ATM_100,-9,0.020817249973472684,21995
2026-04-29,CALL,ATM_100,-8,0.025948990180875275,21996
2026-04-29,CALL,ATM_100,-7,0.0537276580937269,21997
